鑽孔編號,TWD97_X,TWD97_Y,上限深度(公尺),下限深度(公尺),water_depth(m),N_value,統一土壤分類,統體單位重(t/m3),含水量(%),細料(%),塑性指數(%),取樣編號,SDS,SMS,基準Mw,資料來源,城市,GWT_CSR,N,Density,土層深度,土層厚度,土層中點深度,分析點深度,FC,累計sigmav,sigma_v_CSR,sigma_v_CRR,Vs,d/v,Vs30,地盤分類,_vs30,N_60,N1_60,N1_60cs,CRR_7_5,Mw_Design,A_value_Design,SD_S_Design,SM_S_Design,MSF_Design,rd_Design,CSR_Design,CRR_Design,FS_Design,Mw_MidEq,A_value_MidEq,SD_S_MidEq,SM_S_MidEq,MSF_MidEq,rd_MidEq,CSR_MidEq,CRR_MidEq,FS_MidEq,Mw_MaxEq,A_value_MaxEq,SD_S_MaxEq,SM_S_MaxEq,MSF_MaxEq,rd_MaxEq,CSR_MaxEq,CRR_MaxEq,FS_MaxEq,LPI_Design,LPI_MidEq,LPI_MaxEq,基準地震規模Mw,使用SDS,使用SMS
01016607DG168_SA-4,306783.2249,2771573.851,2.5,3.0,0.0,2.0,CL,1.95,,,,S-1,0.8,1.0,7.3,預設值,臺北市,0.0,2.0,1.95,3.5,3.5,1.75,1.75,0,3.413,1.663,1.6625,125.99,0.028,158.96,第三類地盤,158.96,2.0,3.4,3.4,-,7.3,0.32,0.8,1.0,1.05,0.983,0.419,-,3.0,7.1,0.076,0.8,1.0,1.104,0.983,0.1,-,3.0,7.5,0.4,0.8,1.0,1.0,0.983,0.524,-,3.0,0.0,0.0,0.0,7.3,0.8,1.0
01016607DG168_SA-4,306783.2249,2771573.851,4.0,4.5,0.0,2.0,CL,1.82,,,,S-2,0.8,1.0,7.3,預設值,臺北市,0.0,2.0,1.82,5.0,1.5,4.25,4.25,0,8.19,3.94,3.9399999999999995,125.99,0.012,158.96,第三類地盤,158.96,2.0,3.4,3.4,-,7.3,0.32,0.8,1.0,1.05,0.958,0.414,-,3.0,7.1,0.076,0.8,1.0,1.104,0.958,0.099,-,3.0,7.5,0.4,0.8,1.0,1.0,0.958,0.517,-,3.0,0.0,0.0,0.0,7.3,0.8,1.0
01016607DG168_SA-4,306783.2249,2771573.851,5.5,6.0,0.0,2.0,ML,1.77,,,,S-3,0.8,1.0,7.3,預設值,臺北市,0.0,2.0,1.77,6.5,1.5,5.75,5.75,0,10.883,5.133,5.1325,125.99,0.012,158.96,第三類地盤,158.96,2.0,3.4,3.4,0.093,7.3,0.32,0.8,1.0,1.05,0.943,0.416,0.098,0.235,7.1,0.076,0.8,1.0,1.104,0.943,0.099,0.103,1.037,7.5,0.4,0.8,1.0,1.0,0.943,0.52,0.093,0.179,8.176,0.0,8.774,7.3,0.8,1.0
01016607DG168_SA-4,306783.2249,2771573.851,7.0,7.5,0.0,4.0,ML,1.78,,,,S-4,0.8,1.0,7.3,預設值,臺北市,0.0,4.0,1.78,8.0,1.5,7.25,7.25,0,13.545,6.295,6.295,158.74,0.009,158.96,第三類地盤,158.96,4.0,6.8,6.8,0.109,7.3,0.32,0.8,1.0,1.05,0.927,0.415,0.114,0.276,7.1,0.076,0.8,1.0,1.104,0.927,0.099,0.12,1.217,7.5,0.4,0.8,1.0,1.0,0.927,0.519,0.109,0.21,6.923,0.0,7.554,7.3,0.8,1.0
01016607DG168_SA-4,306783.2249,2771573.851,8.5,9.0,0.0,4.0,CL,1.9,,,,S-5,0.8,1.0,7.3,預設值,臺北市,0.0,4.0,1.9,9.5,1.5,8.75,8.75,0,16.305,7.555,7.555,158.74,0.009,158.96,第三類地盤,158.96,4.0,6.8,6.8,-,7.3,0.32,0.8,1.0,1.05,0.912,0.41,-,3.0,7.1,0.076,0.8,1.0,1.104,0.912,0.098,-,3.0,7.5,0.4,0.8,1.0,1.0,0.912,0.512,-,3.0,0.0,0.0,0.0,7.3,0.8,1.0
01016607DG168_SA-4,306783.2249,2771573.851,10.0,10.5,0.0,4.0,CL,1.87,,,,S-6,0.8,1.0,7.3,預設值,臺北市,0.0,4.0,1.87,11.75,2.25,10.625,10.625,0,19.834,9.209,9.208749999999998,158.74,0.014,158.96,第三類地盤,158.96,4.0,6.8,6.8,-,7.3,0.32,0.8,1.0,1.05,0.881,0.395,-,3.0,7.1,0.076,0.8,1.0,1.104,0.881,0.094,-,3.0,7.5,0.4,0.8,1.0,1.0,0.881,0.493,-,3.0,0.0,0.0,0.0,7.3,0.8,1.0
01016607DG168_SA-4,306783.2249,2771573.851,13.0,13.5,0.0,3.0,CL,1.82,,,,S-7,0.8,1.0,7.3,預設值,臺北市,0.0,3.0,1.82,14.0,2.25,12.875,12.875,0,23.985,11.11,11.11,144.22,0.016,158.96,第三類地盤,158.96,3.0,5.1,5.1,-,7.3,0.32,0.8,1.0,1.05,0.814,0.365,-,3.0,7.1,0.076,0.8,1.0,1.104,0.814,0.087,-,3.0,7.5,0.4,0.8,1.0,1.0,0.814,0.457,-,3.0,0.0,0.0,0.0,7.3,0.8,1.0
01016607DG168_SA-4,306783.2249,2771573.851,14.5,15.0,0.0,7.0,CL,1.8,,,,S-8,0.8,1.0,7.3,預設值,臺北市,0.0,7.0,1.8,15.5,1.5,14.75,14.75,0,27.383,12.633,12.6325,191.29,0.008,158.96,第三類地盤,158.96,7.0,11.9,11.9,-,7.3,0.32,0.8,1.0,1.05,0.757,0.342,-,3.0,7.1,0.076,0.8,1.0,1.104,0.757,0.081,-,3.0,7.5,0.4,0.8,1.0,1.0,0.757,0.427,-,3.0,0.0,0.0,0.0,7.3,0.8,1.0
01016607DG168_SA-4,306783.2249,2771573.851,16.0,16.5,0.0,4.0,CL,1.79,,,,S-9,0.8,1.0,7.3,預設值,臺北市,0.0,4.0,1.79,17.0,1.5,16.25,16.25,0,30.075,13.825,13.825,158.74,0.009,158.96,第三類地盤,158.96,4.0,6.8,6.8,-,7.3,0.32,0.8,1.0,1.05,0.712,0.322,-,3.0,7.1,0.076,0.8,1.0,1.104,0.712,0.077,-,3.0,7.5,0.4,0.8,1.0,1.0,0.712,0.403,-,3.0,0.0,0.0,0.0,7.3,0.8,1.0
01016607DG168_SA-4,306783.2249,2771573.851,17.5,18.0,0.0,5.0,CL,1.86,,,,S-10,0.8,1.0,7.3,預設值,臺北市,0.0,5.0,1.86,18.5,1.5,17.75,17.75,0,32.813,15.063,15.0625,171.0,0.009,158.96,第三類地盤,158.96,5.0,8.5,8.5,-,7.3,0.32,0.8,1.0,1.05,0.667,0.302,-,3.0,7.1,0.076,0.8,1.0,1.104,0.667,0.072,-,3.0,7.5,0.4,0.8,1.0,1.0,0.667,0.378,-,3.0,0.0,0.0,0.0,7.3,0.8,1.0
01016607DG168_SA-4,306783.2249,2771573.851,19.0,19.5,0.0,6.0,CL,1.85,,,,S-11,0.8,1.0,7.3,預設值,臺北市,0.0,6.0,1.85,20.0,1.5,19.25,19.25,0,35.595,16.345,16.345,181.71,0.008,158.96,第三類地盤,158.96,6.0,10.2,10.2,-,7.3,0.32,0.8,1.0,1.05,0.622,0.282,-,3.0,7.1,0.076,0.8,1.0,1.104,0.622,0.067,-,3.0,7.5,0.4,0.8,1.0,1.0,0.622,0.352,-,3.0,0.0,0.0,0.0,7.3,0.8,1.0
01016607DG168_SA-4,306783.2249,2771573.851,20.5,21.0,0.0,4.0,CL,1.89,,,,S-12,0.8,1.0,7.3,預設值,臺北市,0.0,4.0,1.89,21.5,1.5,20.75,20.75,0,38.4,17.65,17.65,158.74,0.009,158.96,第三類地盤,158.96,4.0,6.8,6.8,-,7.3,0.32,0.8,1.0,1.05,0.6,0.272,-,3.0,7.1,0.076,0.8,1.0,1.104,0.6,0.065,-,3.0,7.5,0.4,0.8,1.0,1.0,0.6,0.339,-,3.0,0.0,0.0,0.0,7.3,0.8,1.0
01016607DG168_SA-4,306783.2249,2771573.851,22.0,22.5,0.0,6.0,CL,1.8,,,,S-13,0.8,1.0,7.3,預設值,臺北市,0.0,6.0,1.8,23.0,1.5,22.25,22.25,0,41.167,18.917,18.917499999999997,181.71,0.008,158.96,第三類地盤,158.96,6.0,10.2,10.2,-,7.3,0.32,0.8,1.0,1.05,0.6,0.272,-,3.0,7.1,0.076,0.8,1.0,1.104,0.6,0.065,-,3.0,7.5,0.4,0.8,1.0,1.0,0.6,0.339,-,3.0,0.0,0.0,0.0,7.3,0.8,1.0
01016607DG168_SA-4,306783.2249,2771573.851,23.5,24.0,0.0,6.0,CL-ML,1.95,,,,S-14,0.8,1.0,7.3,預設值,臺北市,0.0,6.0,1.95,24.5,1.5,23.75,23.75,0,43.98,20.23,20.229999999999997,NG,,158.96,第三類地盤,158.96,6.0,10.2,10.2,0.128,7.3,0.32,0.8,1.0,1.05,0.6,0.271,0.134,3.0,7.1,0.076,0.8,1.0,1.104,0.6,0.065,0.141,3.0,7.5,0.4,0.8,1.0,1.0,0.6,0.339,0.128,3.0,0.0,0.0,0.0,7.3,0.8,1.0
