鑽孔編號,TWD97_X,TWD97_Y,上限深度(公尺),下限深度(公尺),water_depth(m),N_value,統一土壤分類,統體單位重(t/m3),含水量(%),細料(%),塑性指數(%),取樣編號,粉土(%),黏土(%),砂土(%),礫石(%),SDS,SMS,基準Mw,資料來源,城市,GWT_CSR,N,Density,土層深度,土層厚度,土層中點深度,分析點深度,FC,累計sigmav,sigma_v_CSR,sigma_v_CRR,Vs,d/v,Vs30,地盤分類,_vs30,N_72,N1_72,Na,C1,C2,Mw_Design,A_value_Design,SD_S_Design,SM_S_Design,rd_Design,CSR_Design,CRR_Design,FS_Design,Mw_MidEq,A_value_MidEq,SD_S_MidEq,SM_S_MidEq,rd_MidEq,CSR_MidEq,CRR_MidEq,FS_MidEq,Mw_MaxEq,A_value_MaxEq,SD_S_MaxEq,SM_S_MaxEq,rd_MaxEq,CSR_MaxEq,CRR_MaxEq,FS_MaxEq,LPI_Design,LPI_MidEq,LPI_MaxEq,基準地震規模Mw,使用SDS,使用SMS
811674011121415_10KS-DSS002,183255.72,2515058.12,4.05,4.5,4.47,7.0,CL,17.5,31.3,,25.0,S-3-3,26.0,35.0,27.0,12.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,7.0,17.5,5.125,5.125,2.563,4.797,61.0,83.956,83.629,83.62874999999998,191.29,0.027,190.07,第二類地盤,190.07,7.0,1.313,5.525,2.05,2.833,7.1,0.368,0.919,1.197,0.928,0.223,0.159,0.714,6.9,0.088,0.919,1.197,0.928,0.053,0.159,3.0,7.3,0.479,0.919,1.197,0.928,0.29,0.159,0.548,11.142,0.0,17.608,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,5.75,6.2,4.47,5.0,SM,18.8,25.0,,,S-4-3,26.0,9.0,65.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,5.0,18.8,6.825,1.7,5.975,5.975,35.0,105.667,104.162,104.1625,136.8,0.012,190.07,第二類地盤,190.07,5.0,0.765,2.536,1.5,1.389,7.1,0.368,0.919,1.197,0.91,0.221,0.108,0.488,6.9,0.088,0.919,1.197,0.91,0.053,0.108,2.05,7.3,0.479,0.919,1.197,0.91,0.287,0.108,0.375,6.104,0.0,7.451,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,7.45,7.9,4.47,5.0,CL,19.1,31.5,,26.0,S-5-3,58.0,41.0,1.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,5.0,19.1,8.525,1.7,7.675,7.675,99.0,137.882,134.677,134.67749999999998,171.0,0.01,190.07,第二類地盤,190.07,5.0,0.6,7.314,3.95,4.944,7.1,0.368,0.919,1.197,0.885,0.216,0.183,0.845,6.9,0.088,0.919,1.197,0.885,0.052,0.183,3.0,7.3,0.479,0.919,1.197,0.885,0.282,0.183,0.649,1.624,0.0,3.677,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,9.15,9.6,4.47,5.0,CL,18.3,27.9,,17.0,S-6-3,46.0,53.0,1.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,5.0,18.3,9.825,1.3,9.175,9.175,99.0,166.012,161.307,161.30749999999998,171.0,0.008,190.07,第二類地盤,190.07,5.0,0.505,6.939,3.95,4.944,7.1,0.368,0.919,1.197,0.862,0.212,0.178,0.84,6.9,0.088,0.919,1.197,0.862,0.05,0.178,3.0,7.3,0.479,0.919,1.197,0.862,0.276,0.178,0.645,1.126,0.0,2.498,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,10.05,10.5,4.47,6.0,CL,18.3,30.1,,22.0,S-7-3,55.0,43.0,2.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,6.0,18.3,11.025,1.2,10.425,10.425,98.0,188.887,182.932,182.93249999999998,181.71,0.007,190.07,第二類地盤,190.07,6.0,0.537,6.983,3.9,4.889,7.1,0.368,0.919,1.197,0.844,0.208,0.179,0.859,6.9,0.088,0.919,1.197,0.844,0.05,0.179,3.0,7.3,0.479,0.919,1.197,0.844,0.271,0.179,0.659,0.81,0.0,1.959,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,11.55,12.0,4.47,2.0,CL,16.0,27.3,,11.0,S-8-3,31.0,28.0,41.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,2.0,16.0,12.525,1.5,11.775,11.775,59.0,211.867,204.562,204.56249999999997,125.99,0.012,190.07,第二類地盤,190.07,2.0,0.161,3.041,1.98,2.722,7.1,0.368,0.919,1.197,0.823,0.204,0.118,0.579,6.9,0.088,0.919,1.197,0.823,0.049,0.118,2.432,7.3,0.479,0.919,1.197,0.823,0.265,0.118,0.444,2.597,0.0,3.43,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,13.05,13.5,4.47,3.0,CL,19.2,29.3,,15.0,S-9-3,23.0,32.0,45.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,3.0,19.2,14.025,1.5,13.275,13.275,55.0,238.267,229.462,229.46249999999998,144.22,0.01,190.07,第二類地盤,190.07,3.0,0.216,2.91,1.9,2.5,7.1,0.368,0.919,1.197,0.801,0.199,0.115,0.581,6.9,0.088,0.919,1.197,0.801,0.047,0.115,2.439,7.3,0.479,0.919,1.197,0.801,0.259,0.115,0.446,2.113,0.0,2.794,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,14.55,15.0,4.47,13.0,SM,20.7,34.2,,,S-10-3,21.0,5.0,74.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,13.0,20.7,15.525,1.5,14.775,14.775,26.0,268.192,257.887,257.8875,188.11,0.008,190.07,第二類地盤,190.07,13.0,0.834,1.99,1.32,0.889,7.1,0.368,0.919,1.197,0.778,0.193,0.095,0.493,6.9,0.088,0.919,1.197,0.778,0.046,0.095,2.072,7.3,0.479,0.919,1.197,0.778,0.252,0.095,0.379,1.987,0.0,2.434,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,16.05,16.5,4.47,14.0,SM,19.2,24.9,,,S-11-3,13.0,6.0,81.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,14.0,19.2,17.025,1.5,16.275,16.275,19.0,298.117,286.312,286.31249999999994,192.81,0.008,190.07,第二類地盤,190.07,14.0,0.811,1.457,1.18,0.5,7.1,0.368,0.919,1.197,0.756,0.188,0.082,0.434,6.9,0.088,0.919,1.197,0.756,0.045,0.082,1.824,7.3,0.479,0.919,1.197,0.756,0.245,0.082,0.333,1.581,0.0,1.863,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,17.55,18.0,4.47,17.0,CL-ML,19.1,26.8,,7.0,S-12-3,52.0,19.0,29.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,17.0,19.1,18.525,1.5,17.775,17.775,71.0,326.842,313.537,313.53749999999997,NG,,190.07,第二類地盤,190.07,17.0,0.902,5.689,2.55,3.389,7.1,0.368,0.919,1.197,0.733,0.183,0.161,0.883,6.9,0.088,0.919,1.197,0.733,0.043,0.161,3.0,7.3,0.479,0.919,1.197,0.733,0.238,0.161,0.678,0.195,0.0,0.537,7.1,0.919,1.197
