HOLE ID,X,Y,Z,from,to,USCS,SPT-N,FS,LPI
811674011121415_10KS-DSS002,183255.72,2515058.12,-,0.0,5.125,CL,7.0,0.612,15.115
811674011121415_10KS-DSS002,183255.72,2515058.12,-,5.125,6.825,SM,5.0,0.473,6.282
811674011121415_10KS-DSS002,183255.72,2515058.12,-,6.825,8.525,CL,5.0,0.455,5.71
811674011121415_10KS-DSS002,183255.72,2515058.12,-,8.525,9.825,CL,5.0,0.448,3.884
811674011121415_10KS-DSS002,183255.72,2515058.12,-,9.825,11.025,CL,6.0,0.49,2.93
811674011121415_10KS-DSS002,183255.72,2515058.12,-,11.025,12.525,CL,2.0,0.357,3.967
811674011121415_10KS-DSS002,183255.72,2515058.12,-,12.525,14.025,CL,3.0,0.409,2.981
811674011121415_10KS-DSS002,183255.72,2515058.12,-,14.025,15.525,SM,13.0,0.752,0.972
811674011121415_10KS-DSS002,183255.72,2515058.12,-,15.525,17.025,SM,14.0,0.747,0.707
811674011121415_10KS-DSS002,183255.72,2515058.12,-,17.025,18.525,CL-ML,17.0,1.062,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,-,18.525,20.0,SM,19.0,1.193,0.0
