鑽孔編號,TWD97_X,TWD97_Y,上限深度(公尺),下限深度(公尺),water_depth(m),N_value,統一土壤分類,統體單位重(t/m3),含水量(%),細料(%),塑性指數(%),取樣編號,SDS,SMS,基準Mw,資料來源,城市,GWT_CSR,N,Density,土層深度,土層厚度,土層中點深度,分析點深度,FC,累計sigmav,sigma_v_CSR,sigma_v_CRR,Vs,d/v,Vs30,地盤分類,_vs30,N_60,N1_60,N1_60cs,CRR_7_5,Mw_Design,A_value_Design,SD_S_Design,SM_S_Design,MSF_Design,rd_Design,CSR_Design,CRR_Design,FS_Design,Mw_MidEq,A_value_MidEq,SD_S_MidEq,SM_S_MidEq,MSF_MidEq,rd_MidEq,CSR_MidEq,CRR_MidEq,FS_MidEq,Mw_MaxEq,A_value_MaxEq,SD_S_MaxEq,SM_S_MaxEq,MSF_MaxEq,rd_MaxEq,CSR_MaxEq,CRR_MaxEq,FS_MaxEq,LPI_Design,LPI_MidEq,LPI_MaxEq,基準地震規模Mw,使用SDS,使用SMS
01016607DG168_SA-4,306783.2249,2771573.851,2.5,3.0,0.0,2.0,CL,1.95,,,,S-1,0.6,0.8,7.3,台北盆地微分區,臺北市,0.0,2.0,1.95,3.5,3.5,1.75,1.75,0,3.413,1.663,1.6625,125.99,0.028,158.96,第三類地盤,158.96,2.0,3.4,3.4,0.061,7.3,0.069,0.6,0.8,1.072,0.974,0.089,0.065,0.733,7.1,0.057,0.6,0.8,1.151,0.974,0.074,0.07,0.945,7.5,0.32,0.6,0.8,1.0,0.974,0.416,0.061,0.147,8.527,1.757,27.243,7.3,0.6,0.8
01016607DG168_SA-4,306783.2249,2771573.851,4.0,4.5,0.0,2.0,CL,1.82,,,,S-2,0.6,0.8,7.3,台北盆地微分區,臺北市,0.0,2.0,1.82,5.0,1.5,4.25,4.25,0,8.19,3.94,3.9399999999999995,125.99,0.012,158.96,第三類地盤,158.96,2.0,3.4,3.4,0.061,7.3,0.069,0.6,0.8,1.072,0.938,0.087,0.065,0.752,7.1,0.057,0.6,0.8,1.151,0.938,0.072,0.07,0.97,7.5,0.32,0.6,0.8,1.0,0.938,0.405,0.061,0.15,2.929,0.354,10.041,7.3,0.6,0.8
01016607DG168_SA-4,306783.2249,2771573.851,5.5,6.0,0.0,2.0,ML,1.77,,,,S-3,0.6,0.8,7.3,台北盆地微分區,臺北市,0.0,2.0,1.77,6.5,1.5,5.75,5.75,0,10.883,5.133,5.1325,125.99,0.012,158.96,第三類地盤,158.96,2.0,3.4,3.4,0.061,7.3,0.069,0.6,0.8,1.072,0.913,0.086,0.065,0.757,7.1,0.057,0.6,0.8,1.151,0.913,0.072,0.07,0.976,7.5,0.32,0.6,0.8,1.0,0.913,0.403,0.061,0.151,2.597,0.257,9.074,7.3,0.6,0.8
01016607DG168_SA-4,306783.2249,2771573.851,7.0,7.5,0.0,4.0,ML,1.78,,,,S-4,0.6,0.8,7.3,台北盆地微分區,臺北市,0.0,4.0,1.78,8.0,1.5,7.25,7.25,0,13.545,6.295,6.295,158.74,0.009,158.96,第三類地盤,158.96,4.0,6.8,6.8,0.086,7.3,0.069,0.6,0.8,1.072,0.885,0.085,0.092,1.086,7.1,0.057,0.6,0.8,1.151,0.885,0.071,0.099,1.4,7.5,0.32,0.6,0.8,1.0,0.885,0.396,0.086,0.217,0.0,0.0,7.487,7.3,0.6,0.8
01016607DG168_SA-4,306783.2249,2771573.851,8.5,9.0,0.0,4.0,CL,1.9,,,,S-5,0.6,0.8,7.3,台北盆地微分區,臺北市,0.0,4.0,1.9,9.5,1.5,8.75,8.75,0,16.305,7.555,7.555,158.74,0.009,158.96,第三類地盤,158.96,4.0,6.8,6.8,0.086,7.3,0.069,0.6,0.8,1.072,0.85,0.082,0.092,1.127,7.1,0.057,0.6,0.8,1.151,0.85,0.068,0.099,1.451,7.5,0.32,0.6,0.8,1.0,0.85,0.382,0.086,0.225,0.0,0.0,6.539,7.3,0.6,0.8
01016607DG168_SA-4,306783.2249,2771573.851,10.0,10.5,0.0,4.0,CL,1.87,,,,S-6,0.6,0.8,7.3,台北盆地微分區,臺北市,0.0,4.0,1.87,11.75,2.25,10.625,10.625,0,19.834,9.209,9.208749999999998,158.74,0.014,158.96,第三類地盤,158.96,4.0,6.8,6.8,0.086,7.3,0.069,0.6,0.8,1.072,0.799,0.077,0.092,1.201,7.1,0.057,0.6,0.8,1.151,0.799,0.064,0.099,1.548,7.5,0.32,0.6,0.8,1.0,0.799,0.358,0.086,0.24,0.0,0.0,8.016,7.3,0.6,0.8
01016607DG168_SA-4,306783.2249,2771573.851,13.0,13.5,0.0,3.0,CL,1.82,,,,S-7,0.6,0.8,7.3,台北盆地微分區,臺北市,0.0,3.0,1.82,14.0,2.25,12.875,12.875,0,23.985,11.11,11.11,144.22,0.016,158.96,第三類地盤,158.96,3.0,5.1,5.1,0.073,7.3,0.069,0.6,0.8,1.072,0.728,0.07,0.078,1.117,7.1,0.057,0.6,0.8,1.151,0.728,0.058,0.084,1.439,7.5,0.32,0.6,0.8,1.0,0.728,0.327,0.073,0.223,0.0,0.0,6.228,7.3,0.6,0.8
01016607DG168_SA-4,306783.2249,2771573.851,14.5,15.0,0.0,7.0,CL,1.8,,,,S-8,0.6,0.8,7.3,台北盆地微分區,臺北市,0.0,7.0,1.8,15.5,1.5,14.75,14.75,0,27.383,12.633,12.6325,191.29,0.008,158.96,第三類地盤,158.96,7.0,11.9,11.9,0.13,7.3,0.069,0.6,0.8,1.072,0.668,0.065,0.139,2.158,7.1,0.057,0.6,0.8,1.151,0.668,0.054,0.15,2.78,7.5,0.32,0.6,0.8,1.0,0.668,0.301,0.13,0.431,0.0,0.0,2.24,7.3,0.6,0.8
01016607DG168_SA-4,306783.2249,2771573.851,16.0,16.5,0.0,4.0,CL,1.79,,,,S-9,0.6,0.8,7.3,台北盆地微分區,臺北市,0.0,4.0,1.79,17.0,1.5,16.25,16.25,0,30.075,13.825,13.825,158.74,0.009,158.96,第三類地盤,158.96,4.0,6.8,6.8,0.086,7.3,0.069,0.6,0.8,1.072,0.625,0.061,0.092,1.52,7.1,0.057,0.6,0.8,1.151,0.625,0.051,0.099,1.959,7.5,0.32,0.6,0.8,1.0,0.625,0.283,0.086,0.304,0.0,0.0,1.958,7.3,0.6,0.8
01016607DG168_SA-4,306783.2249,2771573.851,17.5,18.0,0.0,5.0,CL,1.86,,,,S-10,0.6,0.8,7.3,台北盆地微分區,臺北市,0.0,5.0,1.86,18.5,1.5,17.75,17.75,0,32.813,15.063,15.0625,171.0,0.009,158.96,第三類地盤,158.96,5.0,8.5,8.5,0.1,7.3,0.069,0.6,0.8,1.072,0.589,0.057,0.107,1.875,7.1,0.057,0.6,0.8,1.151,0.589,0.048,0.115,2.416,7.5,0.32,0.6,0.8,1.0,0.589,0.267,0.1,0.375,0.0,0.0,1.055,7.3,0.6,0.8
