HOLE ID,X,Y,Z,from,to,USCS,SPT-N,FS,LPI
01016607DG168_SA-4,306783.225,2771573.851,-,0.0,3.5,CL,2.0,0.147,27.243
01016607DG168_SA-4,306783.225,2771573.851,-,3.5,5.0,CL,2.0,0.15,10.041
01016607DG168_SA-4,306783.225,2771573.851,-,5.0,6.5,ML,2.0,0.151,9.074
01016607DG168_SA-4,306783.225,2771573.851,-,6.5,8.0,ML,4.0,0.217,7.487
01016607DG168_SA-4,306783.225,2771573.851,-,8.0,9.5,CL,4.0,0.225,6.539
01016607DG168_SA-4,306783.225,2771573.851,-,9.5,11.75,CL,4.0,0.24,8.016
01016607DG168_SA-4,306783.225,2771573.851,-,11.75,14.0,CL,3.0,0.223,6.228
01016607DG168_SA-4,306783.225,2771573.851,-,14.0,15.5,CL,7.0,0.431,2.24
01016607DG168_SA-4,306783.225,2771573.851,-,15.5,17.0,CL,4.0,0.304,1.958
01016607DG168_SA-4,306783.225,2771573.851,-,17.0,18.5,CL,5.0,0.375,1.055
01016607DG168_SA-4,306783.225,2771573.851,-,18.5,20.0,CL,6.0,0.454,0.307
01016607DG168_SA-4,306783.225,2771573.851,-,20.0,20.0,CL,4.0,0.354,0.0
03720051-841(137)_CH-13,306759.713,2771520.755,-,0.0,2.275,CL,7.0,0.303,14.955
03720051-841(137)_CH-13,306759.713,2771520.755,-,2.275,3.525,CL,7.0,0.309,7.385
03720051-841(137)_CH-13,306759.713,2771520.755,-,3.525,5.125,CL,5.0,0.242,9.505
03720051-841(137)_CH-13,306759.713,2771520.755,-,5.125,6.825,CL,5.0,0.248,8.965
03720051-841(137)_CH-13,306759.713,2771520.755,-,6.825,8.525,ML,6.0,0.296,7.375
03720051-841(137)_CH-13,306759.713,2771520.755,-,8.525,9.825,ML,9.0,0.437,3.961
03720051-841(137)_CH-13,306759.713,2771520.755,-,9.825,20.0,CL,7.0,0.361,2.122
83469825-113022_B-1,306617.4,2771550.6,-,0.0,1.99,,50.0,3.0,0.0
83469825-113022_B-1,306617.4,2771550.6,-,1.99,3.525,CL,2.0,3.0,0.0
83469825-113022_B-1,306617.4,2771550.6,-,3.525,5.025,CL,2.0,3.0,0.0
83469825-113022_B-1,306617.4,2771550.6,-,5.025,6.525,CL,2.0,0.056,10.071
83469825-113022_B-1,306617.4,2771550.6,-,6.525,8.025,ML,6.0,0.162,7.998
83469825-113022_B-1,306617.4,2771550.6,-,8.025,9.525,SM,7.0,0.227,6.508
83469825-113022_B-1,306617.4,2771550.6,-,9.525,11.025,SM,8.0,0.293,5.157
83469825-113022_B-1,306617.4,2771550.6,-,11.025,12.525,CL-ML,4.0,0.194,4.972
83469825-113022_B-1,306617.4,2771550.6,-,12.525,14.025,CL-ML,3.0,0.184,4.116
83469825-113022_B-1,306617.4,2771550.6,-,14.025,15.525,CL,4.0,0.24,2.978
83469825-113022_B-1,306617.4,2771550.6,-,15.525,17.025,CL,4.0,0.263,2.059
83469825-113022_B-1,306617.4,2771550.6,-,17.025,18.525,CL,4.0,0.285,1.193
83469825-113022_B-1,306617.4,2771550.6,-,18.525,20.0,CL,5.0,0.354,0.351
