HOLE ID,X,Y,Z,from,to,USCS,SPT-N,FS,LPI
037790031060921_DA0002,303980.26,2770269.37,787.6,0.0,2.025,SP,22.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,2.025,3.525,CL,7.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,3.525,5.025,CL,2.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,5.025,6.525,ML,2.0,0.453,5.836
037790031060921_DA0002,303980.26,2770269.37,787.6,6.525,8.025,SM,5.0,0.639,3.445
037790031060921_DA0002,303980.26,2770269.37,787.6,8.025,9.525,ML,2.0,0.395,5.093
037790031060921_DA0002,303980.26,2770269.37,787.6,9.525,11.025,ML,2.0,0.393,4.427
037790031060921_DA0002,303980.26,2770269.37,787.6,11.025,12.525,ML,2.0,0.389,3.769
037790031060921_DA0002,303980.26,2770269.37,787.6,12.525,14.025,ML,3.0,0.462,2.714
037790031060921_DA0002,303980.26,2770269.37,787.6,14.025,15.525,ML,1.0,0.361,2.504
037790031060921_DA0002,303980.26,2770269.37,787.6,15.525,17.025,CL,50.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,17.025,18.525,CL,2.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,787.6,18.525,20.0,CL,2.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,0.0,2.025,CL,7.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,2.025,3.525,CL,5.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,3.525,5.025,ML,6.0,0.743,3.031
037790031060921_DA0003,304683.36,2769864.25,787.6,5.025,6.525,ML,2.0,0.344,6.999
037790031060921_DA0003,304683.36,2769864.25,787.6,6.525,8.025,SM,10.0,1.236,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,8.025,9.525,ML,3.0,0.397,5.077
037790031060921_DA0003,304683.36,2769864.25,787.6,9.525,11.025,ML,10.0,1.661,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,11.025,12.525,ML,11.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,12.525,14.025,SM,9.0,1.17,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,14.025,15.525,CL,1.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,15.525,17.025,CL,4.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,17.025,18.525,CL,2.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,787.6,18.525,20.0,CL,4.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,0.0,2.025,CL,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,2.025,3.525,CL,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,3.525,5.025,SM,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,5.025,6.525,SM,6.0,0.643,3.809
037790031060921_DA0011,305005.66,2767671.46,787.6,6.525,8.025,GM,12.0,1.676,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,8.025,9.525,SM,17.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,9.525,11.025,SM,6.0,0.615,2.808
037790031060921_DA0011,305005.66,2767671.46,787.6,11.025,12.525,SM,11.0,1.799,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,12.525,14.025,SM,9.0,0.918,0.414
037790031060921_DA0011,305005.66,2767671.46,787.6,14.025,15.525,CL,2.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,15.525,17.025,CL,2.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,17.025,18.525,CL,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,787.6,18.525,20.0,CL,4.0,3.0,0.0
