HOLE ID,X,Y,Z,from,to,USCS,SPT-N,FS,LPI
811674011121415_10KS-DSS002,183255.72,2515058.12,19.76,0.0,5.125,CL,7.0,3.0,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,19.76,5.125,6.825,SM,5.0,2.989,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,19.76,6.825,8.525,CL,5.0,2.877,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,19.76,8.525,9.825,CL,5.0,2.833,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,19.76,9.825,11.025,CL,6.0,3.0,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,19.76,11.025,12.525,CL,2.0,2.256,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,19.76,12.525,14.025,CL,3.0,2.586,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,19.76,14.025,15.525,SM,13.0,3.0,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,19.76,15.525,17.025,SM,14.0,3.0,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,19.76,17.025,18.525,CL-ML,17.0,3.0,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,19.76,18.525,20.0,SM,19.0,3.0,0.0
