HOLE ID,X,Y,Z,from,to,USCS,SPT-N,FS,LPI
037790031060921_DA0002,303980.26,2770269.37,-,0.0,2.025,SP,22.0,1.145,0.0
037790031060921_DA0002,303980.26,2770269.37,-,2.025,3.525,CL,7.0,1.205,0.0
037790031060921_DA0002,303980.26,2770269.37,-,3.525,5.025,CL,2.0,0.538,5.314
037790031060921_DA0002,303980.26,2770269.37,-,5.025,6.525,ML,2.0,0.488,5.462
037790031060921_DA0002,303980.26,2770269.37,-,6.525,8.025,SM,5.0,0.735,2.529
037790031060921_DA0002,303980.26,2770269.37,-,8.025,9.525,ML,2.0,0.429,4.807
037790031060921_DA0002,303980.26,2770269.37,-,9.525,11.025,ML,2.0,0.421,4.223
037790031060921_DA0002,303980.26,2770269.37,-,11.025,12.525,ML,2.0,0.425,3.547
037790031060921_DA0002,303980.26,2770269.37,-,12.525,14.025,ML,3.0,0.524,2.401
037790031060921_DA0002,303980.26,2770269.37,-,14.025,15.525,ML,1.0,0.372,2.461
037790031060921_DA0002,303980.26,2770269.37,-,15.525,17.025,CL,50.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,-,17.025,18.525,CL,2.0,0.504,0.828
037790031060921_DA0002,303980.26,2770269.37,-,18.525,20.0,CL,2.0,0.526,0.258
037790031060921_DA0003,304683.36,2769864.25,-,0.0,2.025,CL,7.0,1.192,0.0
037790031060921_DA0003,304683.36,2769864.25,-,2.025,3.525,CL,5.0,0.765,3.036
037790031060921_DA0003,304683.36,2769864.25,-,3.525,5.025,ML,6.0,0.753,2.913
037790031060921_DA0003,304683.36,2769864.25,-,5.025,6.525,ML,2.0,0.367,6.753
037790031060921_DA0003,304683.36,2769864.25,-,6.525,8.025,SM,10.0,1.262,0.0
037790031060921_DA0003,304683.36,2769864.25,-,8.025,9.525,ML,3.0,0.423,4.858
037790031060921_DA0003,304683.36,2769864.25,-,9.525,11.025,ML,10.0,1.382,0.0
037790031060921_DA0003,304683.36,2769864.25,-,11.025,12.525,ML,11.0,2.329,0.0
037790031060921_DA0003,304683.36,2769864.25,-,12.525,14.025,SM,9.0,1.151,0.0
037790031060921_DA0003,304683.36,2769864.25,-,14.025,15.525,CL,1.0,0.326,2.641
037790031060921_DA0003,304683.36,2769864.25,-,15.525,17.025,CL,4.0,0.599,1.12
037790031060921_DA0003,304683.36,2769864.25,-,17.025,18.525,CL,2.0,0.448,0.921
037790031060921_DA0003,304683.36,2769864.25,-,18.525,20.0,CL,4.0,0.663,0.183
037790031060921_DA0011,305005.66,2767671.46,-,0.0,2.025,CL,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,2.025,3.525,CL,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,3.525,5.025,SM,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,5.025,6.525,SM,6.0,0.705,3.147
037790031060921_DA0011,305005.66,2767671.46,-,6.525,8.025,GM,12.0,1.435,0.0
037790031060921_DA0011,305005.66,2767671.46,-,8.025,9.525,SM,17.0,0.566,3.654
037790031060921_DA0011,305005.66,2767671.46,-,9.525,11.025,SM,6.0,0.727,1.991
037790031060921_DA0011,305005.66,2767671.46,-,11.025,12.525,SM,11.0,1.915,0.0
037790031060921_DA0011,305005.66,2767671.46,-,12.525,14.025,SM,9.0,0.941,0.298
037790031060921_DA0011,305005.66,2767671.46,-,14.025,15.525,CL,2.0,0.452,2.147
037790031060921_DA0011,305005.66,2767671.46,-,15.525,17.025,CL,2.0,0.474,1.47
037790031060921_DA0011,305005.66,2767671.46,-,17.025,18.525,CL,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,18.525,20.0,CL,4.0,0.73,0.147
