HOLE ID,X,Y,Z,from,to,USCS,SPT-N,FS,LPI
037790031060921_DA0002,303980.26,2770269.37,-,0.0,2.025,SP,22.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,-,2.025,3.525,CL,7.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,-,3.525,5.025,CL,2.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,-,5.025,6.525,ML,2.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,-,6.525,8.025,SM,5.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,-,8.025,9.525,ML,2.0,2.764,0.0
037790031060921_DA0002,303980.26,2770269.37,-,9.525,11.025,ML,2.0,2.715,0.0
037790031060921_DA0002,303980.26,2770269.37,-,11.025,12.525,ML,2.0,2.738,0.0
037790031060921_DA0002,303980.26,2770269.37,-,12.525,14.025,ML,3.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,-,14.025,15.525,ML,1.0,2.397,0.0
037790031060921_DA0002,303980.26,2770269.37,-,15.525,17.025,CL,50.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,-,17.025,18.525,CL,2.0,3.0,0.0
037790031060921_DA0002,303980.26,2770269.37,-,18.525,20.0,CL,2.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,-,0.0,2.025,CL,7.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,-,2.025,3.525,CL,5.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,-,3.525,5.025,ML,6.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,-,5.025,6.525,ML,2.0,2.365,0.0
037790031060921_DA0003,304683.36,2769864.25,-,6.525,8.025,SM,10.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,-,8.025,9.525,ML,3.0,2.727,0.0
037790031060921_DA0003,304683.36,2769864.25,-,9.525,11.025,ML,10.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,-,11.025,12.525,ML,11.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,-,12.525,14.025,SM,9.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,-,14.025,15.525,CL,1.0,2.101,0.0
037790031060921_DA0003,304683.36,2769864.25,-,15.525,17.025,CL,4.0,3.0,0.0
037790031060921_DA0003,304683.36,2769864.25,-,17.025,18.525,CL,2.0,2.888,0.0
037790031060921_DA0003,304683.36,2769864.25,-,18.525,20.0,CL,4.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,0.0,2.025,CL,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,2.025,3.525,CL,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,3.525,5.025,SM,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,5.025,6.525,SM,6.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,6.525,8.025,GM,12.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,8.025,9.525,SM,17.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,9.525,11.025,SM,6.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,11.025,12.525,SM,11.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,12.525,14.025,SM,9.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,14.025,15.525,CL,2.0,2.913,0.0
037790031060921_DA0011,305005.66,2767671.46,-,15.525,17.025,CL,2.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,17.025,18.525,CL,50.0,3.0,0.0
037790031060921_DA0011,305005.66,2767671.46,-,18.525,20.0,CL,4.0,3.0,0.0
