鑽孔編號,TWD97_X,TWD97_Y,上限深度(公尺),下限深度(公尺),water_depth(m),N_value,統一土壤分類,統體單位重(t/m3),含水量(%),細料(%),塑性指數(%),取樣編號,粉土(%),黏土(%),砂土(%),礫石(%),SDS,SMS,基準Mw,資料來源,城市,GWT_CSR,N,Density,土層深度,土層厚度,土層中點深度,分析點深度,FC,累計sigmav,sigma_v_CSR,sigma_v_CRR,Vs,d/v,Vs30,地盤分類,_vs30,N_60,N1_60,N1_60cs,CRR_7_5,Mw_Design,A_value_Design,SD_S_Design,SM_S_Design,MSF_Design,rd_Design,CSR_Design,CRR_Design,FS_Design,Mw_MidEq,A_value_MidEq,SD_S_MidEq,SM_S_MidEq,MSF_MidEq,rd_MidEq,CSR_MidEq,CRR_MidEq,FS_MidEq,Mw_MaxEq,A_value_MaxEq,SD_S_MaxEq,SM_S_MaxEq,MSF_MaxEq,rd_MaxEq,CSR_MaxEq,CRR_MaxEq,FS_MaxEq,LPI_Design,LPI_MidEq,LPI_MaxEq,基準地震規模Mw,使用SDS,使用SMS
037790031060921_DA0002,303980.26,2770269.37,1.05,1.5,4.3,22.0,SP,1.37,7.2,,0.0,S-1-2,1.0,0.0,61.0,38.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,22.0,1.37,2.025,2.025,1.012,1.012,1.0,1.387,1.387,1.387125,224.16,0.009,153.14,第三類地盤,153.14,26.4,44.88,44.88,0.236,7.3,0.069,0.6,0.8,1.072,0.991,0.044,0.253,3.0,7.1,0.057,0.6,0.8,1.151,0.991,0.037,0.272,3.0,7.5,0.32,0.6,0.8,1.0,0.991,0.206,0.236,1.145,0.0,0.0,0.0,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,2.55,3.0,4.3,7.0,CL,1.9,31.7,,12.0,S-2-2,37.0,62.0,1.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,7.0,1.9,3.525,1.5,2.775,2.775,99.0,4.199,4.199,4.19925,191.29,0.008,153.14,第三類地盤,153.14,8.4,14.28,22.136,0.244,7.3,0.069,0.6,0.8,1.072,0.974,0.043,0.261,3.0,7.1,0.057,0.6,0.8,1.151,0.974,0.036,0.281,3.0,7.5,0.32,0.6,0.8,1.0,0.974,0.202,0.244,1.205,0.0,0.0,0.0,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,4.05,4.5,4.3,2.0,CL,1.98,25.8,,10.0,S-3-2,69.0,28.0,3.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,2.0,1.98,5.025,1.5,4.275,4.662,97.0,7.877,7.514,7.514,125.99,0.012,153.14,第三類地盤,153.14,2.4,4.08,9.896,0.112,7.3,0.069,0.6,0.8,1.072,0.955,0.045,0.12,2.691,7.1,0.057,0.6,0.8,1.151,0.955,0.037,0.129,3.0,7.5,0.32,0.6,0.8,1.0,0.955,0.208,0.112,0.538,0.0,0.0,5.314,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,5.55,6.0,4.3,2.0,ML,2.0,26.6,,0.0,S-4-2,37.0,14.0,49.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,2.0,2.0,6.525,1.5,5.775,5.775,51.0,10.094,8.619,8.619250000000001,125.99,0.012,153.14,第三類地盤,153.14,2.4,4.08,9.896,0.112,7.3,0.069,0.6,0.8,1.072,0.942,0.049,0.12,2.44,7.1,0.057,0.6,0.8,1.151,0.942,0.041,0.129,3.0,7.5,0.32,0.6,0.8,1.0,0.942,0.23,0.112,0.488,0.0,0.0,5.462,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,7.05,7.5,4.3,5.0,SM,1.81,41.4,,0.0,S-5-2,39.0,6.0,55.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,5.0,1.81,8.025,1.5,7.275,7.275,45.0,12.952,9.977,9.976750000000003,136.8,0.011,153.14,第三類地盤,153.14,6.0,10.2,17.24,0.183,7.3,0.069,0.6,0.8,1.072,0.922,0.053,0.196,3.0,7.1,0.057,0.6,0.8,1.151,0.922,0.044,0.211,3.0,7.5,0.32,0.6,0.8,1.0,0.922,0.249,0.183,0.735,0.0,0.0,2.529,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,8.55,9.0,4.3,2.0,ML,1.79,33.2,,0.0,S-6-2,48.0,7.0,45.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,2.0,1.79,9.525,1.5,8.775,8.775,55.0,15.652,11.177,11.176750000000002,125.99,0.012,153.14,第三類地盤,153.14,2.4,4.08,9.896,0.112,7.3,0.069,0.6,0.8,1.072,0.896,0.056,0.12,2.145,7.1,0.057,0.6,0.8,1.151,0.896,0.047,0.129,2.764,7.5,0.32,0.6,0.8,1.0,0.896,0.261,0.112,0.429,0.0,0.0,4.807,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,10.05,10.5,4.3,2.0,ML,1.84,27.3,,0.0,S-7-2,77.0,15.0,8.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,2.0,1.84,11.025,1.5,10.275,10.275,92.0,18.374,12.399,12.399250000000002,125.99,0.012,153.14,第三類地盤,153.14,2.4,4.08,9.896,0.112,7.3,0.069,0.6,0.8,1.072,0.862,0.057,0.12,2.108,7.1,0.057,0.6,0.8,1.151,0.862,0.047,0.129,2.715,7.5,0.32,0.6,0.8,1.0,0.862,0.266,0.112,0.421,0.0,0.0,4.223,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,11.55,12.0,4.3,2.0,ML,1.86,27.3,,0.0,S-8-2,54.0,12.0,34.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,2.0,1.86,12.525,1.5,11.775,11.775,66.0,21.149,13.674,13.67425,125.99,0.012,153.14,第三類地盤,153.14,2.4,4.08,9.896,0.112,7.3,0.069,0.6,0.8,1.072,0.819,0.056,0.12,2.125,7.1,0.057,0.6,0.8,1.151,0.819,0.047,0.129,2.738,7.5,0.32,0.6,0.8,1.0,0.819,0.264,0.112,0.425,0.0,0.0,3.547,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,13.05,13.5,4.3,3.0,ML,1.93,25.8,,0.0,S-9-2,55.0,10.0,35.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,3.0,1.93,14.025,1.5,13.275,13.275,65.0,23.992,15.017,15.016750000000002,144.22,0.01,153.14,第三類地盤,153.14,3.6,6.12,12.344,0.134,7.3,0.069,0.6,0.8,1.072,0.77,0.055,0.144,2.619,7.1,0.057,0.6,0.8,1.151,0.77,0.046,0.154,3.0,7.5,0.32,0.6,0.8,1.0,0.77,0.256,0.134,0.524,0.0,0.0,2.401,7.3,0.6,0.8
037790031060921_DA0002,303980.26,2770269.37,14.55,15.0,4.3,1.0,ML,1.94,29.7,,0.0,S-10-2,70.0,28.0,2.0,0.0,0.6,0.8,7.3,台北盆地微分區,臺北市,4.3,1.0,1.94,15.525,1.5,14.775,14.775,98.0,26.894,16.419,16.41925,100.0,0.015,153.14,第三類地盤,153.14,1.2,2.04,7.448,0.091,7.3,0.069,0.6,0.8,1.072,0.718,0.052,0.098,1.861,7.1,0.057,0.6,0.8,1.151,0.718,0.044,0.105,2.397,7.5,0.32,0.6,0.8,1.0,0.718,0.245,0.091,0.372,0.0,0.0,2.461,7.3,0.6,0.8
