計畫名稱,鑽孔編號,取樣編號,上限深度(公尺),下限深度(公尺),統一土壤分類,含水量(%),液性限度(%),塑性指數(%),比重,礫石(%),砂(%),粉土(%),黏土(%),統體單位重(t/m3),空隙比,座標系統,孔口X座標,孔口Y座標,N_value,SPTN_ori,Confidence(%),_matched,TWD97_X,TWD97_Y,water_depth(m),鑽孔地表高程
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-1-2,1.05,1.5,CL,30.6,36,14,2.748,0,6,52,42,1.84,0.95,TW97,304683.36,2769864.25,7,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-2-2,2.55,3,CL,34.8,35,14,2.756,0,6,44,50,1.76,1.11,TW97,304683.36,2769864.25,5,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-3-2,4.05,4.5,ML,24.9,－,NP,2.715,0,28,53,19,1.9,0.78,TW97,304683.36,2769864.25,6,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-4-2,5.55,6,ML,28.9,－,NP,2.721,0,39,51,10,1.79,0.96,TW97,304683.36,2769864.25,2,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-5-2,7.05,7.5,SM,16.9,－,NP,2.788,0,68,24,8,2.16,0.51,TW97,304683.36,2769864.25,10,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-6-2,8.55,9,ML,35.3,－,NP,2.704,0,5,78,17,1.78,1.06,TW97,304683.36,2769864.25,3,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-7-2,10.05,10.5,ML,25.2,－,NP,2.741,0,44,50,6,1.89,0.82,TW97,304683.36,2769864.25,10,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-8-2,11.55,12,ML,31,－,NP,2.729,0,32,54,14,1.78,1.01,TW97,304683.36,2769864.25,11,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-9-2,13.05,13.5,SM,25.3,－,NP,2.743,0,53,38,9,1.85,0.86,TW97,304683.36,2769864.25,9,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-10-2,14.55,15,CL,31.1,33,12,2.748,0,4,72,24,1.84,0.96,TW97,304683.36,2769864.25,1,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-11-2,16.05,16.5,CL,33.2,34,13,2.761,0,3,71,26,1.79,1.05,TW97,304683.36,2769864.25,4,,,,304683.36,2769864.25,2,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_DA0003,S-12-2,17.55,18,CL,39.2,34,13,2.776,0,0,62,38,1.79,1.16,TW97,304683.36,2769864.25,2,,,,304683.36,2769864.25,2,787.6
