計畫名稱,鑽孔編號,TWD97_X,TWD97_Y,鑽孔地表高程,water_depth(m),試驗編號,試驗中文名稱,試驗英文名稱,取樣編號,N_value,統一土壤分類,上限深度(公尺),下限深度(公尺),含水量(岩石)(%),岩心長度(cm),岩心直徑(cm),單軸壓縮強度(kg/cm2),含水量(%),液性限度(%),塑性指數(%),比重,礫石(%),砂(%),粉土(%),黏土(%),統體單位重(t/m3),空隙比,AASHTO分類,塑性限度(%),細料(%),單位重(t/m3),比重(岩石),縮性指數(%),乾單位重(t/m3),D10(mm),D30(mm),D60(mm),D50(mm),尖峰凝聚力(kg/cm2),尖峰內摩擦角(度),不擾動試體無圍壓縮強度(kg/cm2),不擾動試體破壞應變(%),不擾動試體初始含水量(%),不擾動試體初始單位重(t/m3),統體密度(t/m3),破壞應變(%),殘餘凝聚力(kg/cm2),殘餘內摩擦角(度),消散指數1(%),消散指數2(%),凝聚力(kg/cm2),內摩擦角(度),壓縮指數(Cc),有效凝聚力(kg/cm2),有效內摩擦角(度),回脹應變量(%),試體初始含水量(%),試體初始單位重(t/m3),再壓指數(Cr),預壓密壓力(kg/cm2),試體最終含水量(%),試體初始空隙比,試體最終空隙比,試體初始飽和度(%),試體最終飽和度(%),初始含水量(%),初始單位重(t/m3),彈性模數(kg/cm2),乾密度(t/m3),孔隙率(岩石)(%),破壞載重(kg),點載重強度指數(kg/cm2),點載重強度指數(50mm)(kg/cm2),有效尖峰凝聚力(kg/cm2),有效尖峰內摩擦角(度),不擾動試體最終含水量(%),重模試體無圍壓縮強度(kg/cm2),重模試體破壞應變(%),重模試體初始含水量(%),重模試體最終含水量(%),靈敏度,有機物(%),硫酸鹽含量(ppm),亞硫酸鹽含量(ppm),pH 值,氯化物含量(ppm)
345kV 龍崎~仁武山海線#58、#59、#70 鐵塔 基礎改建工程,03795904_11304_#58-1,185160.77,2516826.51,30,,ROCK-COM,岩心單軸抗壓強度試驗,,R-1,,,31,32,17.9,11.008,5.156,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345kV 龍崎~仁武山海線#58、#59、#70 鐵塔 基礎改建工程,03795904_11304_#59-1,185142.27,2516629.59,38,,,,,S-2,6,SM,2.55,3,,,,,12,-,NP,2.67,0,58,33,9,1.84,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345kV 龍崎~仁武山海線#58、#59、#70 鐵塔 基礎改建工程,03795904_11304_#59-1,185142.27,2516629.59,38,,,,,S-3,7,SM,4.05,4.5,,,,,20.1,-,NP,2.65,0,56,37,7,1.85,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345kV 龍崎~仁武山海線#58、#59、#70 鐵塔 基礎改建工程,03795904_11304_#59-1,185142.27,2516629.59,38,,,,,R-1,,,28,29,15.6,11.011,5.155,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣坡地社區工程地質調查與探勘報告(楠梓分區),04136036-III3丙(6)_N2,184106.7599,2513415.337,48.58,7,ST-8-1,岩石點荷重法試驗,,R-1,,,9.33,9.67,7.635,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,0.207,,,,,,,,,,,,,,,,
臺灣坡地社區工程地質調查與探勘報告(楠梓分區),04136036-III3丙(6)_N2,184106.7599,2513415.337,48.58,7,ST-8-2,岩石物理性質試驗,,R-1,,,9.33,9.67,,,,133.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.55,,,,,,,,,,,,,
臺灣坡地社區工程地質調查與探勘報告(岡山分區),04136036-III3乙(6)_#K-5,187838.6811,2515902.864,71.62,2.4,S-1-1,土壤物理性質試驗,,S-1,12,CL,3.05,3.5,,,,,20,32,15,2.72,1,20,,,,0.619,,17,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-1-2,4,SM,1.05,1.5,,,,,17.8,,NP,2.61,0,73,27,0,,0.48,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-2-2,2,SM,2.55,3,,,,,22.1,,NP,2.61,0,72,28,0,,0.6,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道高速公路橋梁耐震補強第2期工程(第1優先路段)規劃設計追加辦理橋梁耐震評估與補強設計工作,35999916M36_CH-11,184641.32,2516617.65,30.23,,,,,S-3-2,2,ML,4.05,4.5,,,,,26.8,,5.5,2.71,0,36,63,1,,0.87,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
