計畫名稱,鑽孔編號,取樣編號,上限深度(公尺),下限深度(公尺),統一土壤分類,含水量(%),液性限度(%),塑性指數(%),比重,礫石(%),砂(%),粉土(%),黏土(%),統體單位重(t/m3),空隙比,座標系統,孔口X座標,孔口Y座標,N_value,SPTN_ori,Confidence(%),_matched,TWD97_X,TWD97_Y,water_depth(m),鑽孔地表高程
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-1-2,1.05,1.5,SM,27.1,－,NP,2.703,30.0,41.0,25.0,4.0,1.75,0.96,TW97,300294.95,2781579.77,6,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-2-2,2.55,3.0,SC,32.6,24,8,2.665,0.0,65.0,20.0,15.0,1.81,0.95,TW97,300294.95,2781579.77,+1+1,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-3-2,4.05,4.5,SP-SM,19.4,－,NP,2.691,33.0,56.0,7.0,4.0,1.9,0.69,TW97,300294.95,2781579.77,11,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-4-2,5.55,6.0,GM,17.1,－,NP,2.745,42.0,42.0,12.0,4.0,1.99,0.62,TW97,300294.95,2781579.77,12,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-5-2,7.05,7.5,SM,27.7,－,NP,2.683,0.0,60.0,31.0,9.0,1.85,0.85,TW97,300294.95,2781579.77,4,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-6-2,8.55,9.0,CL,35.7,25,11,2.653,0.0,47.0,34.0,19.0,1.68,1.14,TW97,300294.95,2781579.77,4,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-7-2,10.05,10.5,SM,28.5,－,NP,2.684,0.0,60.0,34.0,6.0,1.89,0.82,TW97,300294.95,2781579.77,4,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-8-2,11.55,12.0,SM,18.6,－,NP,2.668,0.0,76.0,20.0,4.0,1.9,0.67,TW97,300294.95,2781579.77,7,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-9-2,13.05,13.5,SC,25.6,28,14,2.67,0.0,54.0,27.0,19.0,1.87,0.79,TW97,300294.95,2781579.77,+1+2,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-10-2,14.55,15.0,SC,26.5,24,8,2.701,0.0,57.0,26.0,17.0,1.93,0.77,TW97,300294.95,2781579.77,4,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-11-2,16.05,16.5,SM,22.4,－,NP,2.71,0.0,64.0,22.0,14.0,1.93,0.72,TW97,300294.95,2781579.77,5,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-12-2,17.55,18.0,CL,29.6,26,10,2.699,0.0,31.0,45.0,24.0,1.9,0.84,TW97,300294.95,2781579.77,+1+1,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-13-2,19.05,19.5,SC,22.1,28,12,2.671,0.0,62.0,22.0,16.0,1.95,0.67,TW97,300294.95,2781579.77,5,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-14-2,20.55,21.0,SM,17.6,－,NP,2.665,0.0,76.0,18.0,6.0,2.04,0.54,TW97,300294.95,2781579.77,6,,,,300294.95,2781579.77,2.15,787.6
106年臺北市土壤液化潛勢圖製作暨地質鑽探補充調查專業服務工作(期中100孔),037790031060921_BT0002,S-15-0,21.1,21.16,,,,,,,,,,,,TW97,300294.95,2781579.77,>100,,,,300294.95,2781579.77,2.15,787.6
