計畫名稱,鑽孔編號,試驗編號,試驗中文名稱,試驗英文名稱,取樣編號,上限深度(公尺),下限深度(公尺),統一土壤分類,含水量(%),液性限度(%),塑性指數(%),比重,礫石(%),砂(%),粉土(%),黏土(%),統體密度(t/m3),空隙比,D10(mm),D30(mm),D60(mm),統體單位重(t/m3),不擾動試體無圍壓縮強度(kg/cm2),不擾動試體破壞應變(%),不擾動試體初始含水量(%),不擾動試體最終含水量(%),重模試體無圍壓縮強度(kg/cm2),重模試體破壞應變(%),重模試體初始含水量(%),重模試體最終含水量(%),靈敏度,壓縮指數(Cc),再壓指數(Cr),預壓密壓力(kg/cm2),試體初始含水量(%),試體最終含水量(%),試體初始空隙比,試體最終空隙比,試體初始飽和度(%),試體最終飽和度(%),座標系統,孔口X座標,孔口Y座標,尖峰凝聚力(kg/cm2),尖峰內摩擦角(度),試體最終單位重(t/m3),細料(%),乾密度(t/m3),凝聚力(kg/cm2),內摩擦角(度),有效凝聚力(kg/cm2),有效內摩擦角(度),初始含水量(%),最終含水量(%),初始單位重(t/m3),初始飽和度(%),破壞時孔隙水壓參數A,壓密係數(10^-3cm2/s),不擾動試體初始單位重(t/m3),殘餘凝聚力(kg/cm2),殘餘內摩擦角(度),試體初始單位重(t/m3),最終單位重(t/m3),不擾動剪力強度(kg/cm2),重模剪力強度(kg/cm2),十字片直徑(mm),十字片長度(mm),乾單位重(t/m3),孔口Y座標.1,N_value,SPTN_ori,Confidence(%),_matched,TWD97_X,TWD97_Y,water_depth(m),鑽孔地表高程
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-1,2.5,3.0,CL,29.8,36.4,13.8,2.71,,,,,,0.81,,,,1.95,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-2,4.0,4.5,CL,34.3,33.3,10.5,2.72,,,,,,1,,,,1.82,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-3,5.5,6.0,ML,40.9,29.1,4.3,2.71,,,,,,1.15,,,,1.77,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-4,7.0,7.5,ML,33.8,--,NP,2.69,,,,,,1.02,,,,1.78,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-5,8.5,9.0,CL,28.0,26.9,7.8,2.72,,,,,,0.84,,,,1.9,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-6,10.0,10.5,CL,32.7,30.6,10.3,2.72,,,,,,0.93,,,,1.87,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,T-2,11.0,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,0.29,16.8,0.0,34.6,,,,,,,,,,,,,,,,,,,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-7,13.0,13.5,CL,38.9,40.8,16.6,2.73,,,,,,1.08,,,,1.82,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-8,14.5,15.0,CL,41.1,41,17,2.73,,,,,,1.14,,,,1.8,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,306783.2249,2771573.851,3.1,105.26
台北捷運松山線DG168設計標補充地質鑽探與試驗,01016607DG168_SA-4,,,,S-9,16.0,16.5,CL,39.9,39.2,16.2,2.72,,,,,,1.13,,,,1.79,,,,,,,,,,,,,,,,,,,TW67,305954.512,2771780.096,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,306783.2249,2771573.851,3.1,105.26
